Nom français,Nom anglais,Categorie,Nom espagnol,Définition française,Définition anglaise,Illustration,Illustration 2,Illustration 3,Source
Liseré,?,Design mécanique,,Fins rebords ajoutés de part et d'autres de deux coques pour les fermer.,,http://simonbaudry.free.fr/dico-meca/2017-09-13_174854-liseres.png,,,
Macaron,?,Élements de fixation,,"Cylindre de diamètre relativement grand par rapport à sa hauteur, assurant en général un centrage. ",,http://simonbaudry.free.fr/dico-meca/2017-08-29_145631macaron.png,,,
Tige d'ancrage,Anchor bolt,Composant mécanique,,"Système de fixation d'une structure, en particulier les constructions métalliques, sur une fondation en béton. Le principe consiste à noyer dans la fondation en béton la tête d'un boulon en laissant à l'air libre une tige filetée sur laquelle viendra se fixer la base de la structure métallique à l'aide d'une rondelle et d'un écrou.",Fastener used to attach objects or structures to concrete.,http://simonbaudry.free.fr/dico-meca/stud-anchor-dimensions.gif,http://simonbaudry.free.fr/dico-meca/416px-Expansion_bolt_cutaway.jpg,,
Liaison linéaire annulaire,"Annular linear joint, point curve joint",Cinématique,,,,http://simonbaudry.free.fr/dico-meca/2017-09-12_180157annulaire.png,,,http://dictionnaire.sensagent.leparisien.fr/Liaison_(m%C3%A9canique)/fr-fr/#Mod.C3.A9lisation_anglo-saxonne
Lumière,"Aperture, opening",Design mécanique,,Petite ouverture sur une pièce.,,http://simonbaudry.free.fr/dico-meca/2017-08-29_152555lumiere.png,,,
Axe,Axis,"Eléments tournants, Composant mécanique",,"Tige métallique sur laquelle on place une ou plusieurs roues d'engrenages, ou gallet, ou bien élément tournant en sortie de moteur.","Thin metal mechanical shaft used for the assembly of gears, rollers or wheels, around which they turn freely. Or as a motor's output.",http://simonbaudry.free.fr/dico-meca/2017-08-29_142528axe.png,http://simonbaudry.free.fr/dico-meca/2017-08-28_142511axe.png,,
Jeu,"Backlash, lash, play",Géométrie,,"Espace laissé entre deux pièces assemblées imparfaitement. Comme il est impossible de réaliser des pièces avec une géométrie parfaite, le jeu est une nécessité dans l'assemblage des éléments d'un mécanisme. La considération industrielle du problème a produit la notion de tolérancement, qui définit les classes de qualité d'assemblage et fixe les règles de l'emploi du jeu mécanique.","clearance or lost motion in a mechanism caused by gaps between the parts. It can be defined as ""the maximum distance or angle through which any part of a mechanical system may be moved in one direction without applying appreciable force or motion to the next part in mechanical sequence"", and is a mechanical form of deadband.",http://simonbaudry.free.fr/dico-meca/300px-Jeu_definition.jpg,,,
Embase,"Base, collar",Fonction mécanique,,Elément d’une pièce destiné à servir de base à une autre pièce.  Voir collet.,,http://simonbaudry.free.fr/dico-meca/2017-08-28_155756gorge-saignee-collet-embase-epaulement-chanfreins.png,,,
Coussinet,Bearing shell,"Eléments tournants, Composant mécanique",,"Buselure, en une ou deux pièces, éventuellement munie d’oreilles ou joues, dans laquelle tourne le tourillon d’un arbre.",,http://simonbaudry.free.fr/dico-meca/2017-08-28_155641oreille-joue-coussinet-bagueflottante.png,,,
Roulement à bille,"Bearing, ball bearing",Transmission de puissance,,,,http://simonbaudry.free.fr/dico-meca/2017-08-29_154341roulements.png,http://simonbaudry.free.fr/dico-meca/2017-08-29_154407roulement.png,,
Courroie,Belt,Transmission de puissance,,Pièce utilisée pour la transmission du mouvement. Elle est construite dans un matériau souple. Elle est entraînée par et entraîne elle-même des poulies.,"Loop of flexible material used to link two or more rotating shafts mechanically, most often parallel. Belts may be used as a source of motion, to transmit power efficiently, or to track relative movement. Belts are looped over pulleys and may have a twist between the pulleys, and the shafts need not be parallel.",http://simonbaudry.free.fr/dico-meca/2017-11-08_151941-poulie-courroie.jpg,http://simonbaudry.free.fr/dico-meca/2017-11-08_153800belt.jpg,,
Biseau,Bevel,Fonction mécanique,,Surface oblique d'un objet.,Edge of a structure that is not perpendicular to the faces of the piece. The words bevel and chamfer overlap in usage,http://simonbaudry.free.fr/dico-meca/biseau.jpg,http://simonbaudry.free.fr/dico-meca/2017-08-29_145558biseau.png,,
Engrenage conique,Bevel gear,Transmission de puissance,,,,http://simonbaudry.free.fr/dico-meca/2017-08-29_150233bevelgear.png,,,
Trou borgne,"Blind hole, non-through hole",Fonction mécanique,,,,http://simonbaudry.free.fr/dico-meca/2017-08-28_160422trousborgnes.png,,,
Boulon,Bolt,Élements de fixation,,Ensemble formé par une vis et un écrou. ,Form of threaded fastener with an external male thread.,http://simonbaudry.free.fr/dico-meca/2017-08-29_142730boulo.png,,,
Ecrou,"Bolt, nut",Élements de fixation,,,,http://simonbaudry.free.fr/dico-meca/2017-08-29_150043ecrou.png,,,
Alésage,Bore,"Design mécanique, Procédé de manufacturing",,Opération qui consiste à usiner avec soin la surface intérieure d’un cylindre ou de toute autre pièce creuse. Le résultat de cette opération est un diamètre intérieur.,"A hole drilled or milled by boring (manufacturing), especially a large hole.",http://simonbaudry.free.fr/dico-meca/bride-tournante-aluminium-as-13-alesage-type-metrique-pn-10-5713-dmod1.jpg,http://simonbaudry.free.fr/dico-meca/300px-Jeu_definition.jpg,,
Bossage,Boss,Fonction mécanique,,Saillie prévue à dessein sur une pièce afin de limiter la surface usinée.,,http://simonbaudry.free.fr/dico-meca/2017-08-28_142433bossage.png,http://simonbaudry.free.fr/dico-meca/2017-08-28_160037bossage-lamage.png,,
Vilebrequin,Brace,"Outil - instrument - machine, Travail du bois",,,,,,,
Buselure,Bushing,Composant mécanique,,"Pièce cylindrique creuse à loger dans un alésage, destinée à absorber les chocs et les vibrations dans certains organes mécaniques, ou à assurer l'étanchéité.","Internal and hollow shaft fitting into a bore, used to absorb shoks and vibrations, or waterproofing a mechanism.",http://simonbaudry.free.fr/dico-meca/2017-08-28_155327buselure.png,,,
Palier,"Bushing, plain bearing",Eléments tournants,,Elément positionné entre un arbre d'une pièce et un alésage d'une autre pièce pour garantir une rotation entre les deux en réduisant les frottements.,Plain bearing that is inserted into a housing to provide a bearing surface for rotary applications.,http://simonbaudry.free.fr/dico-meca/2017-08-28_160259contre-jour-chambrage-palier.png,http://simonbaudry.free.fr/dico-meca/2017-08-28_173743palierlisse.png,,
Came,Cam,Composant mécanique,,Pièce profilée animée d’un mouvement de rotation communiquant à une tige un mouvement rectiligne alternatif suivant une loi déterminée.,,http://simonbaudry.free.fr/dico-meca/2017-08-28_155347clavette-came-shaft-galet.png,,,
Arbre à cames,Camshaft,Composant mécanique,,,,,,,
,Castle joint,Travail du bois,,,,,,,
Entraxe,Center distance,Géométrie,,"Distance entre les centres de deux axes, deux cercles, deux roues d'engrenages ou poulies, etc.","Distance between centers of axis, wheel gears, pulleys, circles, etc.",http://simonbaudry.free.fr/dico-meca/2017-08-29_152928pignon-roue-entraxe.png,,,
Chanfrein,Chamfer,Design mécanique,,"Petite surface formée par une arête abattue. Cette surface plate souvent obtenue par limage de l'arête d'une pièce en pierre, en bois ou en métal. Généralement le chanfrein entre deux faces à angle droit est à 45°.",Transitional edge between two faces of an object. It can also be known as a bevel but connotes more often cutting and is more often 45° with respect to the two adjoining faces.,http://simonbaudry.free.fr/dico-meca/2017-08-28_142317chanfrein.png,http://simonbaudry.free.fr/dico-meca/2017-08-28_142511axe.png,,
Ciseau,Chisel,"Outil - instrument - machine, Travail du bois",,"Outil de menuisier, d'ébéniste, de luthier ou encore de charpentier. Il est composé d'une lame en acier trempé, appelée planche, dont une des extrémités est taillée en biseau et extrêmement affûtée pour permettre le travail du bois. L'autre extrémité, appelée soie, est fichée dans l'axe d'un manche, en bois ou en matière synthétique, pour une meilleure prise en main. Lorsque le manche est en bois, il est cerclé de bagues métalliques, appelées ""viroles"", à chaque extrémité pour éviter que le bois n'éclate. Traditionnellement, les manches de ciseaux à bois étaient façonnés dans du charme, pour la solidité.","Tool with a characteristically shaped cutting edge (such that wood chisels have lent part of their name to a particular grind) of blade on its end, for carving or cutting a hard material such as wood, stone, or metal by hand, struck with a mallet, or mechanical power. The handle and blade of some types of chisel are made of metal or of wood with a sharp edge in it.",http://simonbaudry.free.fr/dico-meca/chisel.jpg,,,
"Mandrin (mandrin à machoire, mandrin porte forêt)","Chuck, mandrel (jaw chuck, collet chuck)",Composant mécanique,,Pièce mécanique fixée au bout de l'arbre d'une machine rotative ; il permet la fixation rapide d'un outil (comme le mandrin de perçage) ou d'une pièce (comme le mandrin de tour).,"Specialized type of clamp used to hold an object with radial symmetry, especially a cylinder.",http://simonbaudry.free.fr/dico-meca/2019-02-23_mandrin.png,http://simonbaudry.free.fr/dico-meca/2019-02-23_chuck.png,,
"Circlip, anneau élastique","Circlip, lock-ring, snap-ring",Composant mécanique,,"Composants d'assemblage mécanique généralement montés dans des gorges réalisées sur des portées cylindriques extérieures (arbres, axes, …) ou dans des alésages. Ils permettent de réaliser des arrêts axiaux, des rattrapages de jeu destinés à réduire le bruit de fonctionnement des mécanismes, etc.","Type of fastener or retaining ring consisting of a semi-flexible metal ring with open ends which can be snapped into place, into a machined groove on a dowel pin or other part to permit rotation but to prevent lateral movement. There are two basic types: internal and external, referring to whether they are fitted into a bore or over a shaft. Circlips are often used to secure pinned connections.",http://simonbaudry.free.fr/dico-meca/circlips.gif,,,
Chape,"Clevis, fork",Fonction mécanique,,Sorte de fourche permettant la liaison de deux pièces par l’intermédiaire d’un axe d’articulation,"Three-piece fastener system consisting of a clevis, clevis pin, and tang. The clevis is a U-shaped piece that has holes at the end of the prongs to accept the clevis pin. The clevis pin is similar to a bolt, but is only partially threaded or unthreaded with a cross-hole for a split pin. The tang is a piece that fits in the space within the clevis and is held in place by the clevis pin.",http://simonbaudry.free.fr/dico-meca/clevis.png,http://simonbaudry.free.fr/dico-meca/2017-08-28_155347clavette-came-shaft-galet.png,,
Clip,Clip,Fonction mécanique,,,,http://simonbaudry.free.fr/dico-meca/clips.png,,,
Pince,Clip,Composant mécanique,,,,,,,
"Lyre, collier lyre, lyre d'accrochage","Clip, spring clip, finger grip clip",Composant mécanique,,,,http://simonbaudry.free.fr/dico-meca/collier-lyre-clip.jpg,,,
Embrayage,Clutch,Ensemble de pièces mécaniques,,"Dispositif d'accouplement entre un arbre dit moteur et un autre dit récepteur. Du fait de sa transmission par adhérence, il permet une mise en charge progressive de l'accouplement ce qui évite les à-coups qui pourraient provoquer la rupture d'éléments de transmission ou l'arrêt du moteur dans le cas d'une transmission avec un moteur thermique.",Mechanical device which engages and disengages power transmission especially from driving shaft to driven shaft.,http://simonbaudry.free.fr/dico-meca/clutch.jpg,,,https://www.carthrottle.com/post/engineering-explained-clutch-basics-and-performance-clutches/
Collet,Collar,Fonction mécanique,,Couronne en saillie sur une pièce cylindrique.  Voir embase,,http://simonbaudry.free.fr/dico-meca/2017-08-28_142511axe.png,http://simonbaudry.free.fr/dico-meca/2017-08-28_155756gorge-saignee-collet-embase-epaulement-chanfreins.png,,
Lamage,Counterbore,Procédé de manufacturing,,Logement cylindrique généralement destiné à obtenir une surface d’appui et noyer un élément de pièce. ,,http://simonbaudry.free.fr/dico-meca/2017-08-28_160037bossage-lamage.png,http://simonbaudry.free.fr/dico-meca/2017-08-29_145511lamage.png,,
Chambrage,Counterboring,Fonction mécanique,,Evidement réalisé à l’intérieur d’un cylindre afin de réduire la portée de l'arbre contenu dans le cylindre. ,"Cylindrical flat-bottomed hole that enlarges another coaxial hole, or the tool used to create that feature. A counterbore hole is typically used when a fastener, such as a socket head cap screw, is required to sit flush with or below the level of a workpiece's surface.",http://simonbaudry.free.fr/dico-meca/2017-08-29_125756chambrage.png,http://simonbaudry.free.fr/dico-meca/2017-08-28_155421chambrage.png,,
Fraisure,Countersink,Fonction mécanique,,Evasement conique fait avec une fraise à l’orifice d’un trou. ,"Conical hole cut into a manufactured object, or the cutter used to cut such a hole. ",http://simonbaudry.free.fr/dico-meca/2017-08-28_155944fraisure.png,http://simonbaudry.free.fr/dico-meca/Countersunk_and_counterbored_holes_cross-section.png,,
Coupleur,Coupler,Transmission de puissance,,Pièce permettant la jonction cylindrique entre un deux axes tournants.,Part that allows cylindrical connexion between two rotating axis.,http://simonbaudry.free.fr/dico-meca/2017-10-25_114038-coupler.jpg,,,
Manivelle,Crank,Composant mécanique,,Composant mécanique présentant une partie excentrée appelée maneton (monobloc ou rapporté) par lequel une force peut lui imprimer un mouvement de rotation autour de son axe.,"An arm attached at a right angle to a rotating shaft by which reciprocating motion is imparted to or received from the shaft. It is used to convert circular motion into reciprocating motion, or vice versa. ",http://simonbaudry.free.fr/dico-meca/manivelle.jpg,http://simonbaudry.free.fr/dico-meca/vilebrequin-manivelle.jpg,,
Maneton ,Crankpin,Fonction mécanique,,"Partie cylindrique d'un vilebrequin, d’une manivelle ou d’un arbre coudé, sur laquelle s’articule une tête de bielle.",,http://simonbaudry.free.fr/dico-meca/2017-08-28_160205maneton.png,http://simonbaudry.free.fr/dico-meca/vilebrequin-maneton-tourillon.jpg,,
Vilebrequin,Crankshaft,Composant mécanique,,"Dispositif mécanique qui permet, par l’intermédiaire d'une bielle, la transformation du mouvement linéaire rectiligne du piston en un mouvement de rotation continu, et inversement.",Mechanical part able to perform a conversion between reciprocating motion and rotational motion. ,http://simonbaudry.free.fr/dico-meca/vilebrequin.jpg,http://simonbaudry.free.fr/dico-meca/vilebrequin-maneton-tourillon.jpg,,
Sertissage,Crimp,Élement de fixation,,,,http://simonbaudry.free.fr/dico-meca/2017-08-29_154550sertissage.png,,,
"Vue de coupe, vue de section","Cutaway, section view, cross-section",Géométrie,,Dessin montrant l'intérieur d'un système de telle manière que les éléments externes ont été partiellement coupés (intersection avec un ou lusieurs plans) afin de dégager la vue d'autres éléments internes.,"Drawing in which surface elements of a three-dimensional model are selectively removed, often intersected by one or several planes, in order to make internal features visible, but without sacrificing the outer context entirely.",http://simonbaudry.free.fr/dico-meca/2017-09-11_171347section1.png,http://simonbaudry.free.fr/dico-meca/section.gif,,
Liaison pivot glissant,Cylindrical joint,Cinématique,,,Lower pair joint.,http://simonbaudry.free.fr/dico-meca/2017-09-12_180332-pivot-glissant.png,,,http://dictionnaire.sensagent.leparisien.fr/Liaison_(m%C3%A9canique)/fr-fr/#Mod.C3.A9lisation_anglo-saxonne
Diamètre,Diameter,Géométrie,,Segment de droite passant par le centre et limité par les points du cercle ou de la sphère. Le diamètre est aussi la longueur de ce segment.,,http://simonbaudry.free.fr/dico-meca/diameter.png,,,
Filière,Die,Outil - instrument - machine,,"Outil utilisé pour réaliser un filetage ou filets sur une tige de matière variable (métal, plastique, bois, etc.) afin de réaliser une tige filetée. Une filière s'utilise avec un porte-filière.","A die cuts an external thread on cylindrical material, such as a rod, which creates a male threaded piece which functions like a bolt. Dies are generally made in two styles: solid and adjustable.   Process: threading",http://simonbaudry.free.fr/dico-meca/637px-ThreadingDies.jpg,,,
Embrèvement,Dimpling,Fonction mécanique,,Forme emboutie dans une tôle et destinée à servir de logement pour une pièce ne devant pas être en saillie.  - ou -   Assemblage par embrèvement.,,http://simonbaudry.free.fr/dico-meca/2017-08-29_145523embrevement.png,http://simonbaudry.free.fr/dico-meca/2017-08-29_134841embrevement.png,,
Queue d'aronde,Dove tail,Fonction mécanique,,Tenon en forme de trapèze pénétrant dans une rainure de même forme et assurant une liaison glissière.,,http://simonbaudry.free.fr/dico-meca/2017-08-29_141417dovetail.png,,,
Dépouille,Draft angle,Procédé de manufacturing,,Inclinaison donnée aux surfaces en vue d’assurer la possibilité ou l’aisance du démoulage.,,http://simonbaudry.free.fr/dico-meca/2017-08-28_155900depouille-nervure-bossage-evidement.png,http://simonbaudry.free.fr/dico-meca/2017-08-28_155308depouille-bossage-douille.png,,
Arête,Edge,Géométrie,,Rebord entre deux faces d'une pièce.,Limit between two faces of a part. ,http://simonbaudry.free.fr/dico-meca/2017-08-29_153028face-edge-vertex.png,,,
Liaison linéaire rectiligne,Edge slider joint,Cinématique,,,,http://simonbaudry.free.fr/dico-meca/2017-09-12_180129lineaire-rectiligne.png,,,http://dictionnaire.sensagent.leparisien.fr/Liaison_(m%C3%A9canique)/fr-fr/#Mod.C3.A9lisation_anglo-saxonne
Anneau de levage (main ou oreille de levage),Eye bolt,"Composant mécanique, Elément de fixation",,ccessoire de levage permettant de connecter une charge à une manille ou un crochet de levage (ou tout autre outil de connexion).,"Bolt with a loop at one end. They are used to firmly attach a securing eye to a structure, so that ropes or cables may then be tied to it.",,,,
"Plan, face",Face,Géométrie,,,,http://simonbaudry.free.fr/dico-meca/2017-08-29_153028face-edge-vertex.png,,,
Lime,File,Outil - instrument - machine,,,,,,,
"Congé, arrondi",Fillet,Design mécanique,,Congé : Surface à section circulaire partielle destinée à raccorder deux surfaces formant un angle rentrant.  Arrondi : Surface à section circulaire partielle et destinée à supprimer une arête vive.,Rounding of an interior or exterior corner of a part design. ,http://simonbaudry.free.fr/dico-meca/2017-08-28_142419conge.png,http://simonbaudry.free.fr/dico-meca/2017-08-28_142404arrondi.png,,
Bride,Flange,Composant mécanique,,"Couronne terminant un cylindre, un tuyau ou un arbre et ayant pour fonction d’en permettre l’assemblage avec une pièce analogue à l’aide de boulons. Cette appellation désigne également des pièces rapportées jouant le même rôle ou des rôles analogues.","External or internal ridge, or rim (lip), for strength, as the flange of an iron beam such as an I-beam or a T-beam; or for attachment to another object, as the flange on the end of a pipe, steam cylinder, etc., or on the lens mount of a camera; or for a flange of a rail car or tram wheel.",http://simonbaudry.free.fr/dico-meca/2017-08-28_155219bride.png,,,
Collerette,Flange,"Eléments tournants, Composant mécanique",,"Partie en forme de col terminant une pièce mécanique, comme un palier, et permettant son assemblage avec une autre pièce. Arret en translation, etc.","xternal or internal ridge, or rim (lip), for strength, as the flange of an iron beam such as an I-beam or a T-beam; or for attachment to another object, as the flange on the end of a pipe, steam cylinder, etc., or on the lens mount of a camera; or for a flange of a rail car or tram wheel.",http://simonbaudry.free.fr/dico-meca/2017-08-29_144733collerette.png,,,
Flasque (ex. : flasque avant d'un moteur),Flange,Composant mécanique,,,,http://simonbaudry.free.fr/dico-meca/2017-08-29_151442flasque.png,,,
Joue,"Flange, cheek",Fonction mécanique,,,,http://simonbaudry.free.fr/dico-meca/2017-08-28_155641oreille-joue-coussinet-bagueflottante.png,,,
Taquet français,French cleat,Élement de fixation,,"Double pièce biseautée en moulure, à 45°, l'une fixée à un mur (biseau vers le haut) et l'autre fixée à un élément à accrocher au mur (biseau vers le bas). Les deux pièces s'emboittent entre elles.  Peut se présenter sous la forme de la seule pièce fixée au mur, l'élément à accrocher ayant déjà une partie géométrique à angle permettant l'assemblage.","Way of securing an object to a wall.It is a molding with a 30–45 degree slope used to hang cabinets or other objects.  French cleats can be used in pairs, or with a cleat mounted to the wall and a matching edge cut into the object to be hung.",http://simonbaudry.free.fr/dico-meca/2019-03-19_083044.png,http://simonbaudry.free.fr/dico-meca/2019-03-19_083108.png,,
Godron,"Gadroon, gadrooning",,,"Cannelure en relief, ou bien type de languette, surépaisseur de matière qui peut servir à ajuster un emboitement entre deux pièces.",,http://simonbaudry.free.fr/dico-meca/Ball-Gadroon-tieback-600x600.jpg,http://simonbaudry.free.fr/dico-meca/godron_31.jpg,,
